"","mtry","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config","model"
"16",284,3,2,7.68185852954058e-10,7.63676720363748e-10,0.291362190298736,"roc_auc","binary",0.580408292983354,5,0.00605166919480245,"Preprocessor1_Model08","XGBOOST(Tuned)"
"17",214,34,1,0.01110222584047,1.21767164195552e-10,0.391166152242571,"accuracy","binary",0.714221805480533,5,0.000985857338929249,"Preprocessor1_Model09","XGBOOST(Tuned)"
"18",214,34,1,0.01110222584047,1.21767164195552e-10,0.391166152242571,"roc_auc","binary",0.599367112411805,5,0.00445448071212516,"Preprocessor1_Model09","XGBOOST(Tuned)"
"19",103,21,4,1.41535020602872e-08,0.183957279579148,0.659975696653128,"accuracy","binary",0.714111193094796,5,0.00135394418237635,"Preprocessor1_Model10","XGBOOST(Tuned)"
"20",103,21,4,1.41535020602872e-08,0.183957279579148,0.659975696653128,"roc_auc","binary",0.597350019479299,5,0.00426406325544523,"Preprocessor1_Model10","XGBOOST(Tuned)"
"21",75,37,10,2.23414408129674e-06,0.00601918428250439,0.885631218746304,"accuracy","binary",0.713108283295468,5,0.00162885045331071,"Preprocessor1_Model11","XGBOOST(Tuned)"
"22",75,37,10,2.23414408129674e-06,0.00601918428250439,0.885631218746304,"roc_auc","binary",0.601691728160897,5,0.00470867591365273,"Preprocessor1_Model11","XGBOOST(Tuned)"
"23",252,19,3,1.91169131291142e-10,0.0254452043440256,0.329165307144634,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model12","XGBOOST(Tuned)"
"24",252,19,3,1.91169131291142e-10,0.0254452043440256,0.329165307144634,"roc_auc","binary",0.517898784826514,5,0.00176631056976122,"Preprocessor1_Model12","XGBOOST(Tuned)"
"25",14,10,5,3.36769086983348e-08,0.0114998243212371,0.810201835173182,"accuracy","binary",0.714668358127672,5,0.000855594696468813,"Preprocessor1_Model13","XGBOOST(Tuned)"
"26",14,10,5,3.36769086983348e-08,0.0114998243212371,0.810201835173182,"roc_auc","binary",0.600342040884133,5,0.00582989717165383,"Preprocessor1_Model13","XGBOOST(Tuned)"
"27",190,11,15,0.000360305283411669,1.09722890506441e-09,0.202278255755082,"accuracy","binary",0.715336508883252,5,0.000576296284809982,"Preprocessor1_Model14","XGBOOST(Tuned)"
"28",190,11,15,0.000360305283411669,1.09722890506441e-09,0.202278255755082,"roc_auc","binary",0.610005182988926,5,0.00407202984430571,"Preprocessor1_Model14","XGBOOST(Tuned)"
"29",159,26,13,0.0846981876797571,12.7417154069772,0.229076489012688,"accuracy","binary",0.714221432767065,5,0.000898732499269182,"Preprocessor1_Model15","XGBOOST(Tuned)"
"30",159,26,13,0.0846981876797571,12.7417154069772,0.229076489012688,"roc_auc","binary",0.601008516120686,5,0.00322752563502545,"Preprocessor1_Model15","XGBOOST(Tuned)"
"31",137,38,13,0.00090989401194594,4.30594294979352,0.851580988169648,"accuracy","binary",0.714780089346588,5,0.00132705571489121,"Preprocessor1_Model16","XGBOOST(Tuned)"
"32",137,38,13,0.00090989401194594,4.30594294979352,0.851580988169648,"roc_auc","binary",0.606076804804035,5,0.00338340964760703,"Preprocessor1_Model16","XGBOOST(Tuned)"
"33",154,29,12,0.0379945558840133,8.85899378554505e-05,0.703640004097484,"accuracy","binary",0.69282184121842,5,0.00260506802143407,"Preprocessor1_Model17","XGBOOST(Tuned)"
"34",154,29,12,0.0379945558840133,8.85899378554505e-05,0.703640004097484,"roc_auc","binary",0.5992715544314,5,0.00690587369997226,"Preprocessor1_Model17","XGBOOST(Tuned)"
"35",32,22,13,1.65485115551159e-06,3.94716608818405e-09,0.996095525528304,"accuracy","binary",0.712994439248423,5,0.00217298314696509,"Preprocessor1_Model18","XGBOOST(Tuned)"
"36",32,22,13,1.65485115551159e-06,3.94716608818405e-09,0.996095525528304,"roc_auc","binary",0.595835398040213,5,0.00523620959048792,"Preprocessor1_Model18","XGBOOST(Tuned)"
"37",110,15,6,2.52806233911448e-08,8.6883513668486e-06,0.430748441058211,"accuracy","binary",0.715782874861909,5,0.000842497399453367,"Preprocessor1_Model19","XGBOOST(Tuned)"
"38",110,15,6,2.52806233911448e-08,8.6883513668486e-06,0.430748441058211,"roc_auc","binary",0.608196019525665,5,0.00415113975360029,"Preprocessor1_Model19","XGBOOST(Tuned)"
