"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config","model"
"66",0.01,0.25,"spec","binary",0.00779879385964912,5,0.00404182436229133,"Preprocessor1_Model11","Logistic regression(Tuned)"
"67",0.1,0.25,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model12","Logistic regression(Tuned)"
"68",0.1,0.25,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model12","Logistic regression(Tuned)"
"69",0.1,0.25,"kap","binary",0,5,0,"Preprocessor1_Model12","Logistic regression(Tuned)"
"70",0.1,0.25,"roc_auc","binary",0.564163674358483,5,0.00856567260122374,"Preprocessor1_Model12","Logistic regression(Tuned)"
"71",0.1,0.25,"sens","binary",1,5,0,"Preprocessor1_Model12","Logistic regression(Tuned)"
"72",0.1,0.25,"spec","binary",0,5,0,"Preprocessor1_Model12","Logistic regression(Tuned)"
"73",1,0.25,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model13","Logistic regression(Tuned)"
"74",1,0.25,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model13","Logistic regression(Tuned)"
"75",1,0.25,"kap","binary",0,5,0,"Preprocessor1_Model13","Logistic regression(Tuned)"
"76",1,0.25,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model13","Logistic regression(Tuned)"
"77",1,0.25,"sens","binary",1,5,0,"Preprocessor1_Model13","Logistic regression(Tuned)"
"78",1,0.25,"spec","binary",0,5,0,"Preprocessor1_Model13","Logistic regression(Tuned)"
"79",10,0.25,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model14","Logistic regression(Tuned)"
"80",10,0.25,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model14","Logistic regression(Tuned)"
"81",10,0.25,"kap","binary",0,5,0,"Preprocessor1_Model14","Logistic regression(Tuned)"
"82",10,0.25,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model14","Logistic regression(Tuned)"
"83",10,0.25,"sens","binary",1,5,0,"Preprocessor1_Model14","Logistic regression(Tuned)"
"84",10,0.25,"spec","binary",0,5,0,"Preprocessor1_Model14","Logistic regression(Tuned)"
"85",1e-05,0.5,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model15","Logistic regression(Tuned)"
"86",1e-05,0.5,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model15","Logistic regression(Tuned)"
"87",1e-05,0.5,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model15","Logistic regression(Tuned)"
"88",1e-05,0.5,"roc_auc","binary",0.571263290507856,5,0.00722510369915231,"Preprocessor1_Model15","Logistic regression(Tuned)"
"89",1e-05,0.5,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model15","Logistic regression(Tuned)"
"90",1e-05,0.5,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model15","Logistic regression(Tuned)"
"91",1e-04,0.5,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model16","Logistic regression(Tuned)"
"92",1e-04,0.5,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model16","Logistic regression(Tuned)"
"93",1e-04,0.5,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model16","Logistic regression(Tuned)"
"94",1e-04,0.5,"roc_auc","binary",0.571263290507856,5,0.00722510369915231,"Preprocessor1_Model16","Logistic regression(Tuned)"
"95",1e-04,0.5,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model16","Logistic regression(Tuned)"
"96",1e-04,0.5,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model16","Logistic regression(Tuned)"
"97",0.001,0.5,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model17","Logistic regression(Tuned)"
"98",0.001,0.5,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model17","Logistic regression(Tuned)"
"99",0.001,0.5,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model17","Logistic regression(Tuned)"
"100",0.001,0.5,"roc_auc","binary",0.571263290507856,5,0.00722510369915231,"Preprocessor1_Model17","Logistic regression(Tuned)"
"101",0.001,0.5,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model17","Logistic regression(Tuned)"
"102",0.001,0.5,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model17","Logistic regression(Tuned)"
"103",0.01,0.5,"accuracy","binary",0.715782253441871,5,0.000927202119865209,"Preprocessor1_Model18","Logistic regression(Tuned)"
"104",0.01,0.5,"f_meas","binary",0.833985501121648,5,0.000424343463594589,"Preprocessor1_Model18","Logistic regression(Tuned)"
"105",0.01,0.5,"kap","binary",0.00873212532582364,5,0.00508634309554049,"Preprocessor1_Model18","Logistic regression(Tuned)"
"106",0.01,0.5,"roc_auc","binary",0.570389508347301,5,0.00751265492801417,"Preprocessor1_Model18","Logistic regression(Tuned)"
"107",0.01,0.5,"sens","binary",0.999531981279251,5,0.000312012480499213,"Preprocessor1_Model18","Logistic regression(Tuned)"
"108",0.01,0.5,"spec","binary",0.00662844176413255,5,0.00382956922401141,"Preprocessor1_Model18","Logistic regression(Tuned)"
"109",0.1,0.5,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model19","Logistic regression(Tuned)"
"110",0.1,0.5,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model19","Logistic regression(Tuned)"
"111",0.1,0.5,"kap","binary",0,5,0,"Preprocessor1_Model19","Logistic regression(Tuned)"
"112",0.1,0.5,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model19","Logistic regression(Tuned)"
"113",0.1,0.5,"sens","binary",1,5,0,"Preprocessor1_Model19","Logistic regression(Tuned)"
"114",0.1,0.5,"spec","binary",0,5,0,"Preprocessor1_Model19","Logistic regression(Tuned)"
"115",1,0.5,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model20","Logistic regression(Tuned)"
"116",1,0.5,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model20","Logistic regression(Tuned)"
"117",1,0.5,"kap","binary",0,5,0,"Preprocessor1_Model20","Logistic regression(Tuned)"
"118",1,0.5,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model20","Logistic regression(Tuned)"
"119",1,0.5,"sens","binary",1,5,0,"Preprocessor1_Model20","Logistic regression(Tuned)"
"120",1,0.5,"spec","binary",0,5,0,"Preprocessor1_Model20","Logistic regression(Tuned)"
"121",10,0.5,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model21","Logistic regression(Tuned)"
"122",10,0.5,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model21","Logistic regression(Tuned)"
"123",10,0.5,"kap","binary",0,5,0,"Preprocessor1_Model21","Logistic regression(Tuned)"
"124",10,0.5,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model21","Logistic regression(Tuned)"
"125",10,0.5,"sens","binary",1,5,0,"Preprocessor1_Model21","Logistic regression(Tuned)"
"126",10,0.5,"spec","binary",0,5,0,"Preprocessor1_Model21","Logistic regression(Tuned)"
"127",1e-05,0.75,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model22","Logistic regression(Tuned)"
"128",1e-05,0.75,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model22","Logistic regression(Tuned)"
"129",1e-05,0.75,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model22","Logistic regression(Tuned)"
"130",1e-05,0.75,"roc_auc","binary",0.571272700672537,5,0.00723661701701997,"Preprocessor1_Model22","Logistic regression(Tuned)"
"131",1e-05,0.75,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model22","Logistic regression(Tuned)"
"132",1e-05,0.75,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model22","Logistic regression(Tuned)"
"133",1e-04,0.75,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model23","Logistic regression(Tuned)"
"134",1e-04,0.75,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model23","Logistic regression(Tuned)"
"135",1e-04,0.75,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model23","Logistic regression(Tuned)"
