,.metric,.estimator,mean,n,std_err,.config,model,penalty,mixture,mtry,trees,min_n
86,f_meas,binary,0.833648794,5,0.000300133,Preprocessor1_Model08,Logistic regression(Tuned),1.00E-05,0.25,NA,NA,NA
87,kap,binary,0.009707729,5,0.00448733,Preprocessor1_Model08,Logistic regression(Tuned),1.00E-05,0.25,NA,NA,NA
88,roc_auc,binary,0.571290144,5,0.007193068,Preprocessor1_Model08,Logistic regression(Tuned),1.00E-05,0.25,NA,NA,NA
89,sens,binary,0.998283566,5,0.000795431,Preprocessor1_Model08,Logistic regression(Tuned),1.00E-05,0.25,NA,NA,NA
90,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model08,Logistic regression(Tuned),1.00E-05,0.25,NA,NA,NA
91,accuracy,binary,0.715447867,5,0.000690393,Preprocessor1_Model09,Logistic regression(Tuned),1.00E-04,0.25,NA,NA,NA
92,f_meas,binary,0.833648794,5,0.000300133,Preprocessor1_Model09,Logistic regression(Tuned),1.00E-04,0.25,NA,NA,NA
93,kap,binary,0.009707729,5,0.00448733,Preprocessor1_Model09,Logistic regression(Tuned),1.00E-04,0.25,NA,NA,NA
94,roc_auc,binary,0.571290144,5,0.007193068,Preprocessor1_Model09,Logistic regression(Tuned),1.00E-04,0.25,NA,NA,NA
95,sens,binary,0.998283566,5,0.000795431,Preprocessor1_Model09,Logistic regression(Tuned),1.00E-04,0.25,NA,NA,NA
96,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model09,Logistic regression(Tuned),1.00E-04,0.25,NA,NA,NA
97,accuracy,binary,0.715447867,5,0.000690393,Preprocessor1_Model10,Logistic regression(Tuned),0.001,0.25,NA,NA,NA
98,f_meas,binary,0.833648794,5,0.000300133,Preprocessor1_Model10,Logistic regression(Tuned),0.001,0.25,NA,NA,NA
99,kap,binary,0.009707729,5,0.00448733,Preprocessor1_Model10,Logistic regression(Tuned),0.001,0.25,NA,NA,NA
100,roc_auc,binary,0.571290144,5,0.007193068,Preprocessor1_Model10,Logistic regression(Tuned),0.001,0.25,NA,NA,NA
101,sens,binary,0.998283566,5,0.000795431,Preprocessor1_Model10,Logistic regression(Tuned),0.001,0.25,NA,NA,NA
102,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model10,Logistic regression(Tuned),0.001,0.25,NA,NA,NA
103,accuracy,binary,0.71555935,5,0.000731543,Preprocessor1_Model11,Logistic regression(Tuned),0.01,0.25,NA,NA,NA
104,f_meas,binary,0.833768432,5,0.000289267,Preprocessor1_Model11,Logistic regression(Tuned),0.01,0.25,NA,NA,NA
105,kap,binary,0.0092678,5,0.004830675,Preprocessor1_Model11,Logistic regression(Tuned),0.01,0.25,NA,NA,NA
106,roc_auc,binary,0.570959862,5,0.007329986,Preprocessor1_Model11,Logistic regression(Tuned),0.01,0.25,NA,NA,NA
107,sens,binary,0.998751707,5,0.000679974,Preprocessor1_Model11,Logistic regression(Tuned),0.01,0.25,NA,NA,NA
108,spec,binary,0.007798794,5,0.004041824,Preprocessor1_Model11,Logistic regression(Tuned),0.01,0.25,NA,NA,NA
