"",".threshold","specificity","sensitivity","model"
"77",0.548156921741036,0.0167706708268331,0.995006242197253,"Logistic regression"
"78",0.548406350107059,0.0171606864274571,0.995006242197253,"Logistic regression"
"79",0.550645540474722,0.0171606864274571,0.994850187265918,"Logistic regression"
"80",0.550754432167329,0.0171606864274571,0.994694132334582,"Logistic regression"
"81",0.552336827266581,0.0175507020280811,0.994694132334582,"Logistic regression"
"82",0.556373114616593,0.0175507020280811,0.994538077403246,"Logistic regression"
"83",0.557257475973582,0.0175507020280811,0.99438202247191,"Logistic regression"
"84",0.557490037431236,0.0175507020280811,0.994225967540574,"Logistic regression"
"85",0.557873069758807,0.0175507020280811,0.994069912609238,"Logistic regression"
"86",0.559084840043987,0.0179407176287051,0.994069912609238,"Logistic regression"
"87",0.560877509038328,0.0183307332293292,0.994069912609238,"Logistic regression"
