"",".threshold","recall","precision","model"
"80",0.866438133112347,0.00936329588014981,0.759493670886076,"Logistic regression"
"81",0.86602496438615,0.00951935081148564,0.7625,"Logistic regression"
"82",0.865792496107283,0.00967540574282147,0.765432098765432,"Logistic regression"
"83",0.865770850133513,0.0098314606741573,0.768292682926829,"Logistic regression"
"84",0.865434952057524,0.0098314606741573,0.759036144578313,"Logistic regression"
"85",0.865417462977085,0.0098314606741573,0.75,"Logistic regression"
"86",0.864661755816684,0.0098314606741573,0.741176470588235,"Logistic regression"
"87",0.864397299424293,0.0098314606741573,0.732558139534884,"Logistic regression"
"88",0.864037806225155,0.00998751560549313,0.735632183908046,"Logistic regression"
"89",0.863903560435086,0.010143570536829,0.738636363636364,"Logistic regression"
"90",0.86386175143433,0.0102996254681648,0.741573033707865,"Logistic regression"
"91",0.863611472118706,0.0104556803995006,0.744444444444444,"Logistic regression"
"92",0.863067950761599,0.0106117353308365,0.747252747252747,"Logistic regression"
"93",0.862851680273059,0.0107677902621723,0.75,"Logistic regression"
"94",0.862708122696404,0.0109238451935081,0.752688172043011,"Logistic regression"
"95",0.862344633775069,0.0110799001248439,0.75531914893617,"Logistic regression"
"96",0.862296382693932,0.0112359550561798,0.757894736842105,"Logistic regression"
"97",0.862193924469467,0.0113920099875156,0.760416666666667,"Logistic regression"
"98",0.862076256260858,0.0115480649188514,0.762886597938144,"Logistic regression"
"99",0.861546053721632,0.0117041198501873,0.76530612244898,"Logistic regression"
"100",0.86146004048587,0.0118601747815231,0.767676767676768,"Logistic regression"
"101",0.861162672230545,0.0120162297128589,0.77,"Logistic regression"
"102",0.860787163598341,0.0121722846441948,0.772277227722772,"Logistic regression"
"103",0.860448076632419,0.0123283395755306,0.774509803921569,"Logistic regression"
"104",0.860279114232375,0.0124843945068664,0.776699029126214,"Logistic regression"
"105",0.860260464677015,0.0126404494382022,0.778846153846154,"Logistic regression"
"106",0.859996827578507,0.0126404494382022,0.771428571428571,"Logistic regression"
"107",0.859746154717759,0.0127965043695381,0.773584905660377,"Logistic regression"
