"","cost","rbf_sigma",".metric",".estimator","mean","n","std_err",".config","model"
"92",0.022580148577663,0.00236498274447635,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model19","SVM(Tuned)"
"93",0.022580148577663,0.00236498274447635,"kap","binary",0,5,0,"Preprocessor1_Model19","SVM(Tuned)"
"94",0.022580148577663,0.00236498274447635,"sens","binary",1,5,0,"Preprocessor1_Model19","SVM(Tuned)"
"95",0.022580148577663,0.00236498274447635,"spec","binary",0,5,0,"Preprocessor1_Model19","SVM(Tuned)"
"96",1.37485234944534,0.910315366093416,"accuracy","binary",0.710545733692601,5,0.00308841780206994,"Preprocessor1_Model20","SVM(Tuned)"
"97",1.37485234944534,0.910315366093416,"f_meas","binary",0.828923915260932,5,0.00199550071795434,"Preprocessor1_Model20","SVM(Tuned)"
"98",1.37485234944534,0.910315366093416,"kap","binary",0.0197855387398773,5,0.00846188039757749,"Preprocessor1_Model20","SVM(Tuned)"
"99",1.37485234944534,0.910315366093416,"sens","binary",0.981899013665465,5,0.00344696134280227,"Preprocessor1_Model20","SVM(Tuned)"
"100",1.37485234944534,0.910315366093416,"spec","binary",0.0323761878654971,5,0.00398959710241887,"Preprocessor1_Model20","SVM(Tuned)"
"101",0.00184555675444333,5.05048473793839e-05,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model21","SVM(Tuned)"
"102",0.00184555675444333,5.05048473793839e-05,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model21","SVM(Tuned)"
"103",0.00184555675444333,5.05048473793839e-05,"kap","binary",0,5,0,"Preprocessor1_Model21","SVM(Tuned)"
"104",0.00184555675444333,5.05048473793839e-05,"sens","binary",1,5,0,"Preprocessor1_Model21","SVM(Tuned)"
"105",0.00184555675444333,5.05048473793839e-05,"spec","binary",0,5,0,"Preprocessor1_Model21","SVM(Tuned)"
"106",0.237584560612025,5.43106065683605e-09,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model22","SVM(Tuned)"
"107",0.237584560612025,5.43106065683605e-09,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model22","SVM(Tuned)"
"108",0.237584560612025,5.43106065683605e-09,"kap","binary",0,5,0,"Preprocessor1_Model22","SVM(Tuned)"
"109",0.237584560612025,5.43106065683605e-09,"sens","binary",1,5,0,"Preprocessor1_Model22","SVM(Tuned)"
"110",0.237584560612025,5.43106065683605e-09,"spec","binary",0,5,0,"Preprocessor1_Model22","SVM(Tuned)"
"111",0.0337651211036526,6.54201094894688e-10,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model23","SVM(Tuned)"
"112",0.0337651211036526,6.54201094894688e-10,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model23","SVM(Tuned)"
"113",0.0337651211036526,6.54201094894688e-10,"kap","binary",0,5,0,"Preprocessor1_Model23","SVM(Tuned)"
"114",0.0337651211036526,6.54201094894688e-10,"sens","binary",1,5,0,"Preprocessor1_Model23","SVM(Tuned)"
"115",0.0337651211036526,6.54201094894688e-10,"spec","binary",0,5,0,"Preprocessor1_Model23","SVM(Tuned)"
"116",4.9709530409543,0.000196328889611634,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model24","SVM(Tuned)"
"117",4.9709530409543,0.000196328889611634,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model24","SVM(Tuned)"
"118",4.9709530409543,0.000196328889611634,"kap","binary",0,5,0,"Preprocessor1_Model24","SVM(Tuned)"
"119",4.9709530409543,0.000196328889611634,"sens","binary",1,5,0,"Preprocessor1_Model24","SVM(Tuned)"
"120",4.9709530409543,0.000196328889611634,"spec","binary",0,5,0,"Preprocessor1_Model24","SVM(Tuned)"
"121",0.00128094225886809,2.03371064776497e-05,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model25","SVM(Tuned)"
"122",0.00128094225886809,2.03371064776497e-05,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model25","SVM(Tuned)"
"123",0.00128094225886809,2.03371064776497e-05,"kap","binary",0,5,0,"Preprocessor1_Model25","SVM(Tuned)"
"124",0.00128094225886809,2.03371064776497e-05,"sens","binary",1,5,0,"Preprocessor1_Model25","SVM(Tuned)"
"125",0.00128094225886809,2.03371064776497e-05,"spec","binary",0,5,0,"Preprocessor1_Model25","SVM(Tuned)"
